,antecedents,consequents,support,confidence,lift
0,frozenset({'party'}),frozenset({'swig'}),0.02865329512893983,0.8333333333333334,2.403581267217631
1,"frozenset({'finn', 'sobrato'})",frozenset({'graham'}),0.022922636103151862,0.8888888888888888,3.4856429463171037
2,"frozenset({'graham', 'sobrato'})",frozenset({'finn'}),0.022922636103151862,1.0,4.532467532467533
3,"frozenset({'finn', 'swig'})",frozenset({'graham'}),0.02005730659025788,1.0,3.9213483146067416
4,"frozenset({'graham', 'swig'})",frozenset({'finn'}),0.02005730659025788,0.7777777777777778,3.525252525252525
5,"frozenset({'graham', 'nobili'})",frozenset({'finn'}),0.011461318051575931,1.0,4.532467532467533
6,"frozenset({'dunne', 'finn'})",frozenset({'graham'}),0.022922636103151862,0.8888888888888888,3.4856429463171037
7,"frozenset({'graham', 'nobili'})",frozenset({'sobrato'}),0.011461318051575931,1.0,9.432432432432433
8,"frozenset({'nobili', 'sobrato'})",frozenset({'graham'}),0.011461318051575931,1.0,3.9213483146067416
9,"frozenset({'graham', 'swig'})",frozenset({'dunne'}),0.02005730659025788,0.7777777777777778,3.436005625879044
10,"frozenset({'casa', 'nobili'})",frozenset({'graham'}),0.011461318051575931,1.0,3.9213483146067416
11,"frozenset({'graham', 'nobili'})",frozenset({'casa'}),0.011461318051575931,1.0,9.18421052631579
12,"frozenset({'finn', 'casa'})",frozenset({'sobrato'}),0.014326647564469915,0.8333333333333334,7.860360360360361
13,"frozenset({'nobili', 'sobrato'})",frozenset({'finn'}),0.011461318051575931,1.0,4.532467532467533
14,"frozenset({'finn', 'swig'})",frozenset({'dunne'}),0.017191977077363897,0.8571428571428571,3.786618444846293
15,"frozenset({'casa', 'nobili'})",frozenset({'finn'}),0.011461318051575931,1.0,4.532467532467533
16,"frozenset({'campisi_camp', 'finn'})",frozenset({'sanfilippo_flip'}),0.011461318051575931,0.7999999999999999,13.959999999999997
17,"frozenset({'sanfilippo_flip', 'finn'})",frozenset({'campisi_camp'}),0.011461318051575931,0.7999999999999999,13.295238095238094
18,"frozenset({'casa', 'nobili'})",frozenset({'sobrato'}),0.011461318051575931,1.0,9.432432432432433
19,"frozenset({'nobili', 'sobrato'})",frozenset({'casa'}),0.011461318051575931,1.0,9.18421052631579
